1747754742.648,21.0411,16678,249.27
1747754743.671,20.9908,16680,225.81
1747754744.695,20.9417,16584,239.49
1747754745.704,20.8927,16358,227.76
1747754746.726,20.8451,16035,216.03
1747754747.754,20.7966,15556,214.08
1747754748.758,20.7509,15030,202.35
1747754749.782,20.7073,14436,196.48
1747754750.807,20.6665,13809,208.21
1747754751.813,20.6284,13146,180.84
1747754752.836,20.5938,12482,174.98
1747754753.860,20.5627,11825,174.98
1747754754.868,20.5327,11115,165.20
1747754755.894,20.5081,10479,157.38
1747754756.917,20.4853,9833,131.96
1747754757.925,20.4657,9216,133.92
1747754758.947,20.4482,8608,120.23
1747754760.912,20.3959,27667,384.16
1747754761.938,20.2972,27345,384.16
1747754762.978,20.1912,26520,368.52
1747754764.035,20.0904,25542,350.93
1747754765.073,19.9976,24511,352.88
1747754766.130,19.9127,23444,327.47
1747754767.185,19.8337,22304,325.51
1747754768.224,19.7620,21153,307.92
1747754769.281,19.6960,19963,268.82
1747754770.335,19.6364,18777,274.68
1747754771.377,19.5835,17613,249.27
1747754772.433,19.5364,16466,225.81
1747754773.473,19.4948,15347,221.90
1747754774.527,19.4587,14268,192.57
1747754775.583,19.4270,13217,169.11
1747754776.622,19.4019,12266,157.38
1747754777.677,19.3799,11337,141.74
1747754778.734,19.3624,10476,153.47
1747754779.774,19.3481,9661,135.87
1747754780.830,19.3385,8941,116.32
1747754781.869,19.3322,8292,96.77
1747754782.926,19.3289,7715,90.91
1747754783.981,19.3274,7177,81.13
1747754785.020,19.3291,6730,77.22
1747754786.077,19.3308,6288,85.04
1747754787.116,19.3357,5945,81.13
1747754788.172,19.3419,5656,67.45
1747754789.227,19.3487,5400,77.22
1747754790.266,19.3567,5199,51.81
1747754791.323,19.3643,5011,59.63
1747754792.363,19.3737,4898,47.90
1747754793.417,19.3828,4803,45.94
1747754794.475,19.3915,4722,71.36
1747754795.514,19.4016,4708,67.45
1747754796.570,19.4106,4688,53.76
1747754797.609,19.4189,4677,67.45
1747754798.665,19.4289,4736,67.45
1747754799.721,19.4353,4720,53.76
1747754800.760,19.4445,4804,55.72
1747754801.815,19.4515,4852,73.31
1747754802.856,19.4583,4913,63.54
1747754803.910,19.4654,5001,73.31
1747754804.967,19.4707,5058,57.67
1747754806.006,19.4773,5167,61.58
